time      	close	Volume

2009-08-28	14.74	0.00   
2009-08-31	14.89	0.00   
2009-09-01	15.04	0.00   
2009-09-02	15.34	0.00   
2009-09-03	16.11	0.00   
2009-09-04	16.20	0.00   
2009-09-07	16.29	0.00   
2009-09-08	16.41	0.00   
2009-09-09	16.27	0.00   
2009-09-10	16.68	0.00   
2009-09-11	16.74	0.00   
2009-09-14	16.51	0.00   
2009-09-15	16.97	0.00   
2009-09-16	17.35	0.00   
2009-09-17	17.18	0.00   
2009-09-18	16.96	0.00   
2009-09-21	16.80	0.00   
2009-09-22	17.10	0.00   
2009-09-23	16.71	0.00   
2009-09-24	16.18	0.00   
2009-09-25	16.00	0.00   
2009-09-28	16.14	0.00   
2009-09-29	16.11	0.00   
2009-09-30	16.59	0.00   
2009-10-01	16.32	0.00   
2009-10-02	16.12	0.00   
2009-10-05	16.59	0.00   
2009-10-06	17.32	0.00   
2009-10-07	17.55	0.00   
2009-10-08	17.72	0.00   
2009-10-09	17.67	0.00   
2009-10-12	17.68	0.00   
2009-10-13	17.75	0.00   
2009-10-14	17.85	0.00   
2009-10-15	17.32	0.00   
2009-10-16	17.41	0.00   
2009-10-19	17.78	0.00   
2009-10-20	17.45	0.00   
2009-10-21	17.66	0.00   
2009-10-22	17.65	0.00   
2009-10-23	17.66	0.00   
2009-10-26	17.05	0.00   
2009-10-27	16.65	0.00   
2009-10-28	16.09	0.00   
2009-10-29	16.63	0.00   
2009-10-30	16.27	0.00   
2009-11-02	16.42	0.00   
2009-11-03	17.20	0.00   
2009-11-04	17.44	0.00   
2009-11-05	17.37	0.00   
2009-11-06	17.35	0.00   
2009-11-09	17.58	0.00   
2009-11-10	17.32	0.00   
2009-11-11	17.59	0.00   
2009-11-12	17.21	0.00   
2009-11-13	17.43	0.00   
2009-11-16	18.36	0.00   
2009-11-17	18.40	0.00   
2009-11-18	18.55	0.00   
2009-11-19	18.51	0.00   
2009-11-20	18.48	0.00   
2009-11-23	18.84	0.00   
2009-11-24	18.49	0.00   
2009-11-25	18.82	0.00   
2009-11-26	18.61	0.00   
2009-11-27	18.25	0.00   
2009-11-30	18.45	0.00   
2009-12-01	19.07	0.00   
2009-12-02	19.20	0.00   
2009-12-03	18.80	0.00   
2009-12-04	18.50	0.00   
2009-12-07	18.16	0.00   
2009-12-08	17.59	0.00   
2009-12-10	17.37	0.00   
2009-12-11	17.14	0.00   
2009-12-14	17.36	0.00   
2009-12-15	17.41	0.00   
2009-12-16	17.67	0.00   
2009-12-17	17.13	0.00   
2009-12-18	17.25	0.00   
2009-12-21	17.01	0.00   
2009-12-22	16.96	0.00   
2009-12-23	17.09	0.00   
2009-12-24	17.43	0.00   
2009-12-25	17.50	0.00   
2009-12-28	17.49	0.00   
2009-12-29	17.09	0.00   
2009-12-30	16.79	0.00   
2009-12-31	16.85	0.00   
2010-01-01	16.84	0.00   
2010-01-04	17.55	0.00   
2010-01-05	17.76	0.00   
2010-01-06	18.18	0.00   
2010-01-07	18.22	0.00   
2010-01-08	18.45	0.00   
2010-01-11	18.56	0.00   
2010-01-12	18.25	0.00   
2010-01-13	18.59	0.00   
2010-01-14	18.64	0.00   
2010-01-15	18.36	0.00   
2010-01-18	18.61	0.00   
2010-01-19	18.73	0.00   
2010-01-20	17.87	0.00   
2010-01-21	17.38	0.00   
2010-01-22	17.02	0.00   
2010-01-25	17.12	0.00   
2010-01-26	16.72	0.00   
2010-01-27	16.53	0.00   
2010-01-28	16.20	0.00   
2010-01-29	16.18	0.00   
2010-02-01	16.64	0.00   
2010-02-02	16.68	0.00   
2010-02-03	16.34	0.00   
2010-02-04	15.23	0.00   
2010-02-05	15.15	0.00   
2010-02-08	14.98	0.00   
2010-02-09	15.42	0.00   
2010-02-10	15.18	0.00   
2010-02-11	15.65	0.00   
2010-02-12	15.48	0.00   
2010-02-15	15.53	0.00   
2010-02-16	16.11	0.00   
2010-02-17	15.86	0.00   
2010-02-18	15.80	0.00   
2010-02-19	16.26	0.00   
2010-02-22	16.20	0.00   
2010-02-23	15.82	0.00   
2010-02-24	15.96	0.00   
2010-02-25	16.04	0.00   
2010-02-26	16.45	0.00   
2010-03-01	16.45	0.00   
2010-03-02	16.89	0.00   
2010-03-03	17.17	0.00   
2010-03-04	17.09	0.00   
2010-03-05	17.33	0.00   
2010-03-08	17.22	0.00   
2010-03-09	17.24	0.00   
2010-03-10	16.97	0.00   
2010-03-11	17.15	0.00   
2010-03-12	17.04	0.00   
2010-03-15	17.09	0.00   
2010-03-16	17.36	0.00   
2010-03-17	17.46	0.00   
2010-03-18	17.35	0.00   
2010-03-19	16.93	0.00   
2010-03-22	16.93	0.00   
2010-03-23	16.96	0.00   
2010-03-24	16.52	0.00   
2010-03-25	16.56	0.00   
2010-03-26	16.85	0.00   
2010-03-29	17.35	0.00   
2010-03-30	17.23	0.00   
2010-03-31	17.48	0.00   
2010-04-01	17.88	0.00   
2010-04-02	17.87	0.00   
2010-04-05	18.02	0.00   
2010-04-06	17.89	0.00   
2010-04-07	18.11	0.00   
2010-04-08	18.04	0.00   
2010-04-09	18.34	0.00   
2010-04-12	18.20	0.00   
2010-04-13	18.18	0.00   
2010-04-14	18.40	0.00   
2010-04-15	18.38	0.00   
2010-04-16	17.67	0.00   
2010-04-19	17.72	0.00   
2010-04-20	17.80	0.00   
2010-04-21	18.04	0.00   
